FM;Tenants;Prefrences per tenant;Round;Current tenants;Time;F(Ct-1);F(Ct);F(random);MeanCt-1,MeanCt;MeanCrandom;Improves;
AFM1;3;3;0;2;19500;0.0;0.0;0.0;0.25;0.25;0.25;false;17-2-0.5-0.5-0.5;49-4-0.0-0.0-0.0;
AFM1;3;3;1;3;19157;0.0;0.0;0.0;0.45;0.45;0.45;false;17-3-0.67-0.67-0.67;78-5-0.0-0.0-0.0;68-3-0.67-0.67-0.67;
AFM1;3;3;2;2;18502;0.0;0.0;0.0;0.34;0.34;0.34;false;17-3-0.67-0.67-0.67;77-5-0.0-0.0-0.0;
AFM1;3;3;3;3;18830;0.0;0.0;0.0;0.22;0.22;0.22;false;16-3-0.67-0.67-0.67;77-5-0.0-0.0-0.0;53-3-0.0-0.0-0.0;
AFM1;3;3;4;4;19283;0.0;0.0;0.0;0.25;0.25;0.25;false;16-3-0.67-0.67-0.67;36-5-0.0-0.0-0.0;53-2-0.0-0.0-0.0;68-3-0.33-0.33-0.33;
AFM1;3;3;5;5;19626;0.0;0.0;0.0;0.3;0.3;0.3;false;16-3-0.67-0.67-0.67;36-4-0.0-0.0-0.0;53-2-0.0-0.0-0.0;25-2-0.5-0.5-0.5;52-3-0.33-0.33-0.33;
AFM1;4;4;0;5;19407;0.0;0.0;0.0;0.32;0.32;0.22;false;32-3-0.0-0.0-0.0;45-3-0.33-0.33-0.33;32-4-0.25-0.25-0.25;39-4-0.75-0.75-0.5;30-4-0.25-0.25-0.0;
AFM1;4;4;1;4;19671;0.0;0.0;0.0;0.29;0.29;0.13;false;80-2-0.0-0.0-0.0;10-3-0.0-0.0-0.0;10-4-0.75-0.75-0.5;30-5-0.4-0.4-0.0;
AFM1;4;4;2;3;18830;0.0;0.0;0.0;0.33;0.33;0.22;false;80-3-0.33-0.33-0.33;15-4-0.0-0.0-0.0;10-3-0.67-0.67-0.33;
AFM1;4;4;3;2;18736;2400.0;2400.0;1200.0;0.67;0.67;0.42;false;80-3-0.33-0.33-0.33;10-2-1.0-1.0-0.5;
AFM1;4;4;4;3;18206;1064960.0;1064960.0;532480.0;0.61;0.61;0.44;false;80-3-0.33-0.33-0.33;16-2-1.0-1.0-0.5;78-4-0.5-0.5-0.5;
AFM1;4;4;5;4;19236;1.537536E7;1.537536E7;7687680.0;0.5;0.5;0.38;false;80-4-0.25-0.25-0.25;26-2-1.0-1.0-0.5;28-4-0.5-0.5-0.5;33-4-0.25-0.25-0.25;
AFM1;4;5;0;3;19796;838655.9999999999;838655.9999999999;31449.6;0.76;0.76;0.26;false;26-5-0.8-0.8-0.2;35-6-0.67-0.67-0.33;10-5-0.8-0.8-0.24;
AFM1;4;5;1;2;18985;3900.0;4940.0;390.0;0.78;0.88;0.25;true;26-4-0.75-0.95-0.25;10-5-0.8-0.8-0.24;
