FM;Tenants;Preferences per tenant;Round;Current tenants;Time;F(Ct-1);F(Ct);F(random);MeanCt-1;MeanCt;MeanCrandom;Improves;
AFM205;3;4;0;2;12854;6960.0;6960.0;6960.0;0.54;0.54;0.54;false;30-4-0.75-0.75-0.75;58-3-0.33-0.33-0.33;
AFM205;3;4;1;3;13479;470400.0;470400.0;470400.0;0.44;0.44;0.44;false;30-4-0.75-0.75-0.75;56-3-0.33-0.33-0.33;70-4-0.25-0.25-0.25;
AFM205;3;4;2;2;12809;1400.0;1400.0;1400.0;0.33;0.33;0.33;false;56-3-0.33-0.33-0.33;25-3-0.33-0.33-0.33;
AFM205;3;4;3;3;13214;0.0;1843200.0;0.0;0.25;0.8;0.25;true;80-2-0.5-0.9-0.5;10-4-0.25-1.0-0.25;80-4-0.0-0.5-0.0;
AFM205;3;4;4;2;13292;7056.0;7056.0;980.0;0.95;0.95;0.38;false;49-2-0.9-0.9-0.5;10-4-1.0-1.0-0.25;
AFM205;4;5;0;5;14352;7.236323921756158E10;7.236323921756158E10;3.3418983628799996E9;0.74;0.74;0.43;false;32-4-0.75-0.75-0.25;38-5-0.56-0.56-0.6;51-6-0.97-0.97-0.5;35-5-0.8-0.8-0.2;22-5-0.6-0.6-0.6;
AFM205;4;5;1;4;13776;2.8843765632E8;2.8843765632E8;5.5256256E7;0.67;0.67;0.44;false;32-4-0.75-0.75-0.25;38-4-0.45-0.45-0.5;51-6-0.97-0.97-0.5;22-4-0.5-0.5-0.5;
AFM205;4;5;2;3;13713;364140.0;364140.0;151725.0;0.68;0.68;0.51;false;14-4-0.75-0.75-0.25;17-3-0.33-0.33-0.67;51-5-0.96-0.96-0.6;
AFM205;4;5;3;2;13105;476.0;476.0;0.0;0.5;0.5;0.34;false;14-3-0.67-0.67-0.0;17-3-0.33-0.33-0.67;
AFM205;4;5;4;3;14026;312216.66666666674;312216.66666666674;0.0;0.53;0.53;0.29;false;11-3-0.67-0.67-0.0;13-3-0.33-0.33-0.67;131-5-0.6-0.6-0.2;
AFM205;4;5;5;2;13168;6386.25;8515.0;4257.5;0.43;0.53;0.35;true;13-4-0.25-0.25-0.5;131-5-0.6-0.8-0.2;
AFM205;3;4;0;2;13275;33000.0;33000.0;6600.0;0.75;0.75;0.33;false;33-5-1.0-1.0-0.4;80-4-0.5-0.5-0.25;
AFM205;3;4;1;3;13526;2795100.0;3557400.0;508200.0;0.65;0.7;0.35;true;33-5-1.0-1.0-0.4;28-5-0.4-0.4-0.4;110-4-0.55-0.7-0.25;
AFM205;3;4;2;2;13853;2625.0;2625.0;375.0;0.85;0.85;0.33;false;10-5-1.0-1.0-0.4;15-4-0.7-0.7-0.25;
AFM205;3;4;3;3;13558;878202.0;1112389.1999999997;97578.0;0.62;0.67;0.26;true;13-6-1.0-1.0-0.33;15-5-0.6-0.76-0.2;139-4-0.25-0.25-0.25;
AFM205;3;4;4;4;13963;1.2047978879999998E8;1.2047978879999998E8;3470040.0;0.66;0.66;0.25;false;21-6-1.0-1.0-0.33;10-6-0.69-0.69-0.17;51-4-0.25-0.25-0.25;72-4-0.7-0.7-0.25;
AFM205;3;4;5;3;14119;109666.66666666666;110499.99999999999;12500.0;0.53;0.53;0.23;true;10-5-0.63-0.69-0.2;80-4-0.25-0.25-0.25;10-4-0.7-0.64-0.25;
AFM205;3;4;6;2;13386;4622.222222222223;5066.666666666667;1333.3333333333335;0.51;0.55;0.27;true;10-5-0.69-0.76-0.2;80-3-0.33-0.33-0.33;
AFM205;3;4;7;3;13464;1242884.9999999998;2130660.0;280350.0;0.56;0.7;0.34;true;12-5-0.76-0.76-0.2;63-3-0.33-0.33-0.33;89-4-0.58-1.0-0.5;
AFM205;3;4;8;2;13557;20291.999999999996;20291.999999999996;2136.0;0.88;0.88;0.3;false;12-5-0.76-0.76-0.2;89-5-1.0-1.0-0.4;
AFM205;3;5;0;2;12994;11000.0;11000.0;11000.0;0.45;0.45;0.45;false;44-4-0.5-0.5-0.5;50-5-0.4-0.4-0.4;
AFM205;3;5;1;3;13682;448500.0;448500.0;448500.0;0.32;0.32;0.32;false;78-4-0.5-0.5-0.5;80-4-0.25-0.25-0.25;23-5-0.2-0.2-0.2;
AFM205;3;5;2;4;13885;4.9939660800000004E7;2.6428068495359996E8;4.9939660800000004E7;0.41;0.61;0.41;true;38-3-0.67-1.0-0.67;80-5-0.4-0.56-0.4;23-6-0.17-0.3-0.17;31-5-0.4-0.56-0.4;
