Input,Time (ms),Desired Location,Desired OS,Desired dedication,Desired period,Desired storage,Desired usage,Desired ECU,Desired RAM,Desired ssd,Result Location,Result OS,Result Dedication,Result Purchase,Result Instance,Result EBS,Total Cost,Cost Month,Cost Hour,ECU,Cores,RAM,SSD,Storage,EBS Storage,Signed Usage,Period
Config 1.fmc,388,Public,LinuxBased,VA,1,0,730,12,8,0,VA,Linux,Public,OnDemand,M3_xlarge,null,204,204400,0.28,13,4,15,1,80,0,730,1
Config 2.fmc,528,Public,LinuxBased,SouthAmerica,1,0,730,4,9,0,SaoPaulo,Linux,Public,OnDemand,M2_xlarge,null,235,235790,0.323,6.5,2,17.1,0,420,0,730,1
Config 3.fmc,526,Public,WindowsBased,SIN,1,0,730,8,40,0,SIN,Windows,Public,OnDemand,R3_2xlarge,null,943,943160,1.292,26,8,61,1,160,0,730,1
Config 4.fmc,299,Public,LinuxBased,CA,1,0,730,68,160,0,CA,Linux,Public,OnDemand,R3_8xlarge,null,2277,2277600,3.12,104,32,244,1,640,0,730,1
Config 5.fmc,621,Public,WindowsBased,Europe,1,0,730,16,5,0,IR,Windows,Public,OnDemand,C3_2xlarge,null,548,548960,0.752,28,8,15,1,160,0,730,1
