sep=;
Input;Time (ms);Desired Location;Desired OS;Desired dedication;Desired period;Desired storage;Desired usage;Desired ECU;Desired RAM;Desired ssd;Result Location;Result OS;Result Dedication;Result Purchase;Result Instance;Result EBS;Total Cost;Cost Month;Cost Hour;ECU;Cores;RAM;SSD;Storage;EBS Storage;Signed Usage;Period;
Config 118.fmc; 519;Public;WindowsSQLWeb;SIN;14;918;424;18.0;8.0;0;SIN;WindowsSQLWeb;Public;OneYearMedium;C3_2xlarge;ssdEBS;6641.0;347904.0;0.606;28.0;8.0;15.0;1.0;918.0;758.0;424.0;14.0;
Config 119.fmc; 279;Public;WindowsSQLWeb;SIN;14;42;58;27.0;19.0;0;SIN;WindowsSQLWeb;Public;OnDemand;C3_4xlarge;null;1758.0;125628.0;2.166;55.0;16.0;30.0;1.0;320.0;0.0;58.0;14.0;
Config 12.fmc; 356;Public;Suse;ORE;19;2285;709;91.0;213.0;1;ORE;Suse;Public;OneYearHeavy;I2_8xlarge;null;40728.0;1368020.0;1.874;104.0;32.0;244.0;1.0;6400.0;0.0;730.0;19.0;
Config 120.fmc; 356;Public;WindowsSQLServer;Europe;34;7771;58;61.0;121.0;1;Invalid;
Config 121.fmc; 536;Dedicated;WindowsSQLServer;ORE;43;667;667;7.0;7.0;1;ORE;WindowsSQLWeb;Dedicated;OnDemand;C3_xlarge;ssdEBS;76979.0;1790232.0;0.596;14.0;4.0;7.5;1.0;667.0;587.0;667.0;43.0;
Config 122.fmc; 701;Dedicated;LinuxBased;VA;43;795;60;10.0;26.0;1;VA;Linux;Dedicated;OneYearLight;I2_xlarge;null;6915.0;144360.0;0.406;14.0;4.0;30.5;1.0;800.0;0.0;60.0;43.0;
Config 123.fmc; 407;Dedicated;LinuxBased;VA;43;5652;60;99.0;230.0;0;VA;Linux;Dedicated;OneYearLight;I2_8xlarge;null;17933.0;297240.0;2.954;104.0;32.0;244.0;1.0;6400.0;0.0;60.0;43.0;
Config 124.fmc; 1638;Public;WindowsBased;NorthAmerica;5;421;670;1.0;1.0;0;VA;Windows;Public;OnDemand;M1_small;StdEBS;316.0;63300.0;0.075;1.0;1.0;1.7;0.0;421.0;261.0;670.0;5.0;
Config 125.fmc; 302;Public;WindowsSQLStd;SouthAmerica;24;544;303;34.0;34.0;0;SaoPaulo;WindowsSQLStd;Public;OnDemand;C3_8xlarge;null;75243.0;3135141.0;10.347;108.0;32.0;60.0;1.0;640.0;0.0;303.0;24.0;
Config 126.fmc; 302;Public;WindowsSQLStd;SouthAmerica;24;3358;181;100.0;193.0;1;Invalid;
Config 127.fmc; 434;Dedicated;WindowsSQLStd;JP;33;169;181;9.0;4.0;1;Tokyo;WindowsSQLStd;Dedicated;OneYearMedium;C3_xlarge;ssdEBS;18818.0;493950.0;0.67;14.0;4.0;7.5;1.0;169.0;89.0;181.0;33.0;
Config 128.fmc; 237;Dedicated;Windows;SouthAmerica;6;174;463;54.0;27.0;1;SaoPaulo;Windows;Dedicated;OnDemand;C3_4xlarge;null;11556.0;1926080.0;2.16;55.0;16.0;30.0;1.0;320.0;0.0;463.0;6.0;
Config 129.fmc; 237;Dedicated;Windows;SouthAmerica;6;1976;342;41.0;154.0;1;Invalid;
Config 13.fmc; 408;Dedicated;Windows;SouthAmerica;18;980;711;20.0;10.0;0;SaoPaulo;Windows;Dedicated;OneYearHeavy;C3_2xlarge;ssdEBS;38937.0;1829690.0;0.293;28.0;8.0;15.0;1.0;980.0;820.0;730.0;18.0;
Config 130.fmc; 626;Dedicated;WindowsSQLServer;AUS;16;800;342;20.0;3.0;0;Sydney;WindowsSQLWeb;Dedicated;OnDemand;C1_xlarge;null;17926.0;1120392.0;1.276;20.0;8.0;7.0;0.0;1680.0;0.0;342.0;16.0;
Config 131.fmc; 1157;Public;RedHat;AsiaOceania;35;923;706;23.0;35.0;0;SIN;RedHat;Public;ThreeYearsHeavy;M2_4xlarge;null;12362.0;261340.0;0.358;26.0;8.0;68.4;0.0;1680.0;0.0;730.0;36.0;
Config 132.fmc; 1157;Public;RedHat;AsiaOceania;45;8683;585;43.0;118.0;0;Invalid;
Config 133.fmc; 469;Public;Windows;JP;45;549;585;16.0;6.0;1;Tokyo;Windows;Public;OneYearHeavy;G2_2xlarge;ssdEBS;14861.0;240450.0;0.249;26.0;8.0;15.0;1.0;549.0;489.0;730.0;45.0;
Config 134.fmc; 293;Dedicated;WindowsSQLWeb;CA;44;676;708;6.0;11.0;0;CA;WindowsSQLWeb;Dedicated;OnDemand;M2_xlarge;StdEBS;79684.0;1811012.0;0.529;6.5;2.0;17.1;0.0;676.0;256.0;708.0;44.0;
Config 135.fmc; 299;Public;WindowsSQLStd;Europe;6;6564;587;37.0;226.0;0;IR;WindowsSQLStd;Public;OnDemand;I2_8xlarge;ssdEBS;34750.0;5791772.0;9.836;104.0;32.0;244.0;1.0;6564.0;164.0;587.0;6.0;
Config 136.fmc; 806;Public;WindowsSQLStd;Europe;6;302;220;5.0;5.0;0;IR;WindowsSQLStd;Public;OnDemand;M3_large;ssdEBS;1116.0;186120.0;0.711;6.5;2.0;7.5;1.0;302.0;270.0;220.0;6.0;
Config 137.fmc; 1049;Public;WindowsSQLServer;VA;25;425;220;30.0;19.0;1;VA;WindowsSQLWeb;Public;OneYearMedium;C3_4xlarge;ssdEBS;9519.0;252060.0;1.098;55.0;16.0;30.0;1.0;425.0;105.0;220.0;25.0;
Config 138.fmc; 166;Dedicated;WindowsSQLWeb;NorthAmerica;35;4270;99;39.0;190.0;1;VA;WindowsSQLWeb;Dedicated;OnDemand;I2_8xlarge;null;34449.0;984258.0;7.942;104.0;32.0;244.0;1.0;6400.0;0.0;99.0;35.0;
Config 139.fmc; 216;Dedicated;WindowsSQLWeb;NorthAmerica;35;51;222;18.0;8.0;1;VA;WindowsSQLWeb;Dedicated;OnDemand;G2_2xlarge;null;23721.0;677766.0;1.053;26.0;8.0;15.0;1.0;60.0;0.0;222.0;35.0;
Config 14.fmc; 903;Public;RedHat;AsiaOceania;47;103;344;24.0;22.0;0;SIN;RedHat;Public;ThreeYearsMedium;M3_2xlarge;null;8642.0;130032.0;0.378;26.0;8.0;30.0;1.0;160.0;0.0;344.0;47.0;
Config 140.fmc; 696;Dedicated;LinuxBased;SIN;34;178;222;13.0;26.0;0;SIN;Linux;Dedicated;OneYearMedium;M2_2xlarge;null;17477.0;487512.0;0.196;13.0;4.0;34.2;0.0;850.0;0.0;222.0;34.0;
Config 141.fmc; 696;Public;WindowsBased;SouthAmerica;44;2151;101;33.0;93.0;0;Invalid;
Config 142.fmc; 567;Public;WindowsBased;SouthAmerica;44;927;465;7.0;7.0;0;SaoPaulo;Windows;Public;ThreeYearsMedium;M1_xlarge;null;9281.0;136710.0;0.294;8.0;4.0;15.0;0.0;1680.0;0.0;465.0;44.0;
Config 143.fmc; 549;Public;WindowsSQLStd;ORE;15;927;465;37.0;15.0;1;ORE;WindowsSQLStd;Public;OneYearMedium;C3_4xlarge;ssdEBS;25984.0;1121365.0;2.281;55.0;16.0;30.0;1.0;927.0;607.0;465.0;15.0;
Config 144.fmc; 549;Dedicated;LinuxBased;AsiaOceania;25;8858;344;35.0;57.0;1;Invalid;
Config 145.fmc; 664;Dedicated;Suse;NorthAmerica;25;681;468;1.0;1.0;1;VA;Suse;Dedicated;OneYearMedium;M3_medium;ssdEBS;25993.0;1023356.0;0.042;3.0;1.0;3.75;1.0;681.0;677.0;468.0;25.0;
Config 146.fmc; 667;Dedicated;Suse;NorthAmerica;25;681;346;36.0;22.0;0;VA;Suse;Dedicated;OneYearMedium;C3_4xlarge;ssdEBS;23852.0;851276.0;0.356;55.0;16.0;30.0;1.0;681.0;361.0;346.0;25.0;
Config 147.fmc; 280;Public;Suse;CA;34;6739;346;29.0;165.0;0;CA;Suse;Public;OneYearMedium;I2_8xlarge;ssdEBS;35061.0;674206.0;1.831;104.0;32.0;244.0;1.0;6739.0;339.0;346.0;34.0;
Config 148.fmc; 842;Public;Linux;AUS;6;430;711;10.0;10.0;0;Sydney;Linux;Public;OnDemand;M3_xlarge;ssdEBS;1924.0;320712.0;0.392;13.0;4.0;15.0;1.0;430.0;350.0;711.0;6.0;
Config 149.fmc; 542;Public;Linux;AUS;6;430;589;60.0;30.0;1;Sydney;Linux;Public;OnDemand;C3_8xlarge;null;7481.0;1246913.0;2.117;108.0;32.0;60.0;1.0;640.0;0.0;589.0;6.0;
Config 15.fmc; 542;Public;Windows;JP;9;8108;347;38.0;81.0;1;Invalid;
Config 150.fmc; 282;Dedicated;Linux;VA;15;4445;589;31.0;129.0;1;VA;Linux;Dedicated;OneYearMedium;I2_8xlarge;null;45678.0;2248802.0;1.818;104.0;32.0;244.0;1.0;6400.0;0.0;589.0;15.0;
Config 151.fmc; 519;Dedicated;Windows;VA;45;165;213;5.0;5.0;1;VA;Windows;Dedicated;OneYearMedium;M3_large;ssdEBS;21668.0;469546.0;0.142;6.5;2.0;7.5;1.0;165.0;133.0;213.0;45.0;
