sep=;
Input;Time (ms);Desired Location;Desired OS;Desired dedication;Desired period;Desired storage;Desired usage;Desired ECU;Desired RAM;Desired ssd;Result Location;Result OS;Result Dedication;Result Purchase;Result Instance;Result EBS;Total Cost;Cost Month;Cost Hour;ECU;Cores;RAM;SSD;Storage;EBS Storage;Signed Usage;Period;
Config 201.fmc; 268;Dedicated;Linux;SIN;42;1793;236;44.0;212.0;1;SIN;Linux;Dedicated;OneYearMedium;I2_8xlarge;null;62975.0;1089848.0;2.618;104.0;32.0;244.0;1.0;6400.0;0.0;236.0;42.0;
Config 202.fmc; 249;Public;Suse;SouthAmerica;4;324;115;4.0;4.0;0;SaoPaulo;Suse;Public;OnDemand;M1_large;null;153.0;38295.0;0.333;4.0;2.0;7.5;0.0;840.0;0.0;115.0;4.0;
Config 203.fmc; 210;Public;Suse;SouthAmerica;4;324;115;47.0;16.0;0;SaoPaulo;Suse;Public;OnDemand;C3_4xlarge;ssdEBS;647.0;161760.0;1.4;55.0;16.0;30.0;1.0;324.0;4.0;115.0;4.0;
Config 204.fmc; 210;Public;WindowsBased;ORE;23;8500;479;46.0;176.0;0;Invalid;
Config 205.fmc; 805;Dedicated;Linux;AsiaOceania;33;73;358;13.0;3.0;1;SIN;Linux;Dedicated;OneYearMedium;C3_xlarge;null;25732.0;760392.0;0.124;14.0;4.0;7.5;1.0;80.0;0.0;358.0;33.0;
Config 206.fmc; 549;Dedicated;Linux;AsiaOceania;33;73;358;28.0;26.0;1;SIN;Linux;Dedicated;OneYearMedium;C3_4xlarge;null;32062.0;893926.0;0.497;55.0;16.0;30.0;1.0;320.0;0.0;358.0;33.0;
Config 207.fmc; 404;Dedicated;Windows;AsiaOceania;15;5680;713;71.0;117.0;1;SIN;Windows;Dedicated;OneYearHeavy;I2_8xlarge;null;77588.0;3774830.0;3.171;104.0;32.0;244.0;1.0;6400.0;0.0;730.0;15.0;
Config 208.fmc; 597;Public;Windows;SIN;24;808;591;8.0;8.0;0;SIN;Windows;Public;OneYearMedium;M1_xlarge;null;5827.0;197985.0;0.335;8.0;4.0;15.0;0.0;1680.0;0.0;591.0;24.0;
Config 209.fmc; 498;Public;Windows;SIN;24;932;225;52.0;34.0;0;SIN;Windows;Public;OneYearMedium;R3_4xlarge;ssdEBS;14171.0;270540.0;0.876;52.0;16.0;122.0;1.0;932.0;612.0;225.0;24.0;
Config 21.fmc; 498;Dedicated;Linux;Europe;48;5287;459;106.0;142.0;0;Invalid;
Config 210.fmc; 293;Public;RedHat;Europe;44;3386;225;73.0;201.0;1;IR;RedHat;Public;ThreeYearsMedium;I2_8xlarge;null;39095.0;473400.0;2.104;104.0;32.0;244.0;1.0;6400.0;0.0;225.0;44.0;
Config 211.fmc; 441;Dedicated;RedHat;ORE;5;557;103;17.0;7.0;1;ORE;RedHat;Dedicated;OnDemand;C3_2xlarge;ssdEBS;1533.0;306676.0;0.592;28.0;8.0;15.0;1.0;557.0;397.0;103.0;5.0;
Config 212.fmc; 210;Dedicated;WindowsSQLWeb;VA;5;685;227;35.0;10.0;1;VA;WindowsSQLWeb;Dedicated;OnDemand;C3_4xlarge;ssdEBS;5157.0;1031441.0;2.383;55.0;16.0;30.0;1.0;685.0;365.0;227.0;5.0;
Config 213.fmc; 195;Dedicated;WindowsSQLWeb;VA;5;1267;106;22.0;105.0;0;VA;WindowsSQLWeb;Dedicated;OnDemand;R3_4xlarge;ssdEBS;2912.0;582512.0;2.602;52.0;16.0;122.0;1.0;1267.0;947.0;106.0;5.0;
Config 214.fmc; 828;Public;WindowsSQLStd;NorthAmerica;15;311;106;11.0;1.0;0;VA;WindowsSQLStd;Public;OnDemand;I2_xlarge;null;1955.0;130380.0;1.23;14.0;4.0;30.5;1.0;800.0;0.0;106.0;15.0;
Config 215.fmc; 401;Public;WindowsSQLServer;SouthAmerica;34;434;470;59.0;18.0;0;SaoPaulo;WindowsSQLWeb;Public;OneYearHeavy;C3_8xlarge;null;53876.0;867240.0;1.188;108.0;32.0;60.0;1.0;640.0;0.0;730.0;34.0;
Config 216.fmc; 401;Public;WindowsSQLServer;SouthAmerica;34;7974;470;24.0;69.0;1;Invalid;
Config 217.fmc; 208;Dedicated;WindowsSQLWeb;AUS;44;60;349;20.0;10.0;1;Sydney;WindowsSQLWeb;Dedicated;OnDemand;C3_2xlarge;null;49000.0;1113659.0;1.191;28.0;8.0;15.0;1.0;160.0;0.0;349.0;44.0;
Config 218.fmc; 543;Dedicated;LinuxBased;ORE;43;187;472;42.0;25.0;1;ORE;Linux;Dedicated;OneYearMedium;C3_4xlarge;null;52267.0;1160648.0;0.459;55.0;16.0;30.0;1.0;320.0;0.0;472.0;43.0;
Config 219.fmc; 543;Public;WindowsBased;AsiaOceania;5;2502;351;107.0;177.0;0;Invalid;
Config 22.fmc; 751;Public;WindowsSQLServer;CA;10;346;583;6.0;6.0;1;CA;WindowsSQLWeb;Public;OneYearMedium;M3_large;ssdEBS;2175.0;139122.0;0.174;6.5;2.0;7.5;1.0;346.0;314.0;583.0;12.0;
Config 220.fmc; 2545;Public;WindowsBased;AsiaOceania;5;813;715;16.0;6.0;0;Tokyo;Windows;Public;OnDemand;C1_xlarge;null;3689.0;737880.0;1.032;20.0;8.0;7.0;0.0;1680.0;0.0;715.0;5.0;
Config 221.fmc; 719;Public;WindowsSQLStd;CA;24;936;715;11.0;14.0;1;CA;WindowsSQLStd;Public;OneYearHeavy;I2_xlarge;ssdEBS;9593.0;303940.0;0.394;14.0;4.0;30.5;1.0;936.0;136.0;730.0;24.0;
Config 222.fmc; 719;Dedicated;LinuxBased;Europe;34;9209;594;20.0;141.0;1;Invalid;
Config 223.fmc; 477;Dedicated;Linux;JP;33;689;717;9.0;9.0;1;Tokyo;Linux;Dedicated;OneYearMedium;R3_xlarge;ssdEBS;54852.0;1616064.0;0.152;13.0;4.0;30.5;1.0;689.0;609.0;717.0;33.0;
Config 224.fmc; 523;Dedicated;Linux;JP;33;689;596;10.0;21.0;0;Tokyo;Linux;Dedicated;OneYearMedium;M2_2xlarge;null;44319.0;1315968.0;0.208;13.0;4.0;34.2;0.0;850.0;0.0;596.0;33.0;
Config 225.fmc; 290;Public;Suse;VA;43;7090;596;103.0;92.0;0;VA;Suse;Public;ThreeYearsHeavy;I2_8xlarge;ssdEBS;55875.0;781480.0;0.976;104.0;32.0;244.0;1.0;7090.0;690.0;730.0;43.0;
Config 226.fmc; 756;Public;WindowsBased;SIN;14;438;229;18.0;8.0;0;SIN;Windows;Public;OneYearMedium;C3_2xlarge;ssdEBS;3447.0;144196.0;0.484;28.0;8.0;15.0;1.0;438.0;278.0;229.0;14.0;
Config 227.fmc; 599;Public;WindowsBased;SIN;14;64;108;34.0;29.0;1;SIN;Windows;Public;OnDemand;C3_4xlarge;null;2881.0;205848.0;1.906;55.0;16.0;30.0;1.0;320.0;0.0;108.0;14.0;
Config 228.fmc; 599;Dedicated;Linux;SouthAmerica;24;4796;108;25.0;163.0;0;Invalid;
Config 229.fmc; 248;Public;RedHat;JP;41;209;0;9.0;9.0;0;Tokyo;RedHat;Public;OnDemand;C3_4xlarge;null;0.0;0.0;1.151;55.0;16.0;30.0;1.0;320.0;0.0;0.0;41.0;
Config 23.fmc; 885;Dedicated;WindowsSQLServer;NorthAmerica;19;971;461;26.0;12.0;1;VA;WindowsSQLWeb;Dedicated;OnDemand;G2_2xlarge;ssdEBS;28472.0;1498533.0;1.053;26.0;8.0;15.0;1.0;971.0;911.0;461.0;19.0;
Config 230.fmc; 589;Public;Windows;VA;3;835;610;20.0;34.0;0;VA;Windows;Public;OnDemand;R3_2xlarge;ssdEBS;2178.0;726300.0;1.08;26.0;8.0;61.0;1.0;835.0;675.0;610.0;3.0;
Config 231.fmc; 375;Public;Windows;VA;3;3379;610;27.0;127.0;1;VA;Windows;Public;OnDemand;I2_8xlarge;null;14241.0;4747020.0;7.782;104.0;32.0;244.0;1.0;6400.0;0.0;610.0;3.0;
Config 232.fmc; 394;Dedicated;Suse;SIN;22;958;243;18.0;8.0;1;SIN;Suse;Dedicated;OneYearMedium;C3_2xlarge;ssdEBS;15687.0;645183.0;0.261;28.0;8.0;15.0;1.0;958.0;798.0;243.0;22.0;
Config 233.fmc; 281;Dedicated;RedHat;SouthAmerica;32;584;122;44.0;11.0;1;SaoPaulo;RedHat;Dedicated;OnDemand;C3_4xlarge;ssdEBS;15503.0;484480.0;1.56;55.0;16.0;30.0;1.0;584.0;264.0;122.0;32.0;
Config 234.fmc; 281;Dedicated;RedHat;SouthAmerica;32;1085;245;21.0;235.0;0;Invalid;
Config 235.fmc; 1582;Public;WindowsSQLServer;NorthAmerica;31;711;245;11.0;7.0;0;VA;WindowsSQLWeb;Public;OneYearMedium;I2_xlarge;null;4288.0;99960.0;0.408;14.0;4.0;30.5;1.0;800.0;0.0;245.0;31.0;
Config 236.fmc; 640;Public;WindowsSQLWeb;ORE;41;337;124;27.0;18.0;0;ORE;WindowsSQLWeb;Public;OneYearMedium;I2_2xlarge;null;6523.0;101060.0;0.815;27.0;8.0;61.0;1.0;1600.0;0.0;124.0;41.0;
Config 237.fmc; 640;Dedicated;Windows;AUS;12;9026;488;23.0;199.0;1;Invalid;
Config 238.fmc; 412;Dedicated;Windows;AUS;12;460;367;6.0;6.0;1;Sydney;Windows;Dedicated;OneYearMedium;M3_large;ssdEBS;10667.0;844080.0;0.16;6.5;2.0;7.5;1.0;460.0;428.0;367.0;12.0;
Config 239.fmc; 484;Dedicated;WindowsSQLServer;CA;22;86;367;51.0;22.0;0;CA;WindowsSQLWeb;Dedicated;OnDemand;C3_4xlarge;null;35388.0;1608561.0;2.383;55.0;16.0;30.0;1.0;320.0;0.0;367.0;22.0;
Config 24.fmc; 484;Dedicated;Windows;VA;39;9876;95;59.0;214.0;0;Invalid;
Config 240.fmc; 484;Public;LinuxBased;SouthAmerica;22;6908;491;107.0;103.0;0;Invalid;
Config 241.fmc; 980;Public;LinuxBased;JP;31;839;369;19.0;9.0;0;Tokyo;Linux;Public;OneYearMedium;M2_4xlarge;null;5937.0;139113.0;0.377;26.0;8.0;68.4;0.0;1680.0;0.0;369.0;31.0;
Config 242.fmc; 330;Public;LinuxBased;JP;31;963;3;43.0;30.0;1;Tokyo;Linux;Public;OnDemand;I2_4xlarge;null;372.0;12006.0;4.002;53.0;16.0;122.0;1.0;3200.0;0.0;3.0;31.0;
Config 243.fmc; 203;Dedicated;WindowsSQLStd;AsiaOceania;3;4614;3;63.0;187.0;1;Tokyo;WindowsSQLStd;Dedicated;OnDemand;I2_8xlarge;null;163.0;54618.0;16.206;104.0;32.0;244.0;1.0;6400.0;0.0;3.0;3.0;
Config 244.fmc; 538;Dedicated;WindowsSQLStd;SIN;12;588;612;8.0;8.0;0;SIN;WindowsSQLStd;Dedicated;OneYearMedium;M1_xlarge;null;23049.0;1678716.0;0.743;8.0;4.0;15.0;0.0;1680.0;0.0;612.0;12.0;
Config 245.fmc; 256;Public;Linux;CA;12;716;5;26.0;37.0;0;CA;Linux;Public;OnDemand;M2_4xlarge;null;66.0;5500.0;1.1;26.0;8.0;68.4;0.0;1680.0;0.0;5.0;12.0;
Config 246.fmc; 256;Public;Linux;CA;12;8142;614;57.0;90.0;0;Invalid;
Config 247.fmc; 686;Public;Linux;NorthAmerica;21;341;248;5.0;5.0;1;VA;Linux;Public;OneYearMedium;M3_large;ssdEBS;1297.0;44540.0;0.055;6.5;2.0;7.5;1.0;341.0;309.0;248.0;21.0;
Config 248.fmc; 780;Dedicated;WindowsBased;VA;41;465;248;50.0;14.0;1;VA;Windows;Dedicated;OneYearMedium;C3_4xlarge;ssdEBS;33716.0;745604.0;0.948;55.0;16.0;30.0;1.0;465.0;145.0;248.0;41.0;
Config 249.fmc; 234;Dedicated;WindowsBased;AUS;2;5848;126;59.0;54.0;1;Sydney;Windows;Dedicated;OnDemand;I2_8xlarge;null;2859.0;1429848.0;9.348;104.0;32.0;244.0;1.0;6400.0;0.0;126.0;2.0;
Config 25.fmc; 770;Public;Windows;AUS;48;720;97;8.0;8.0;0;Sydney;Windows;Public;OneYearMedium;M1_xlarge;null;2635.0;32495.0;0.335;8.0;4.0;15.0;0.0;1680.0;0.0;97.0;48.0;
Config 250.fmc; 700;Dedicated;WindowsBased;AUS;2;90;481;20.0;10.0;1;Sydney;Windows;Dedicated;OnDemand;C3_2xlarge;null;2932.0;1466088.0;1.048;28.0;8.0;15.0;1.0;160.0;0.0;481.0;2.0;
Config 251.fmc; 402;Dedicated;RedHat;AUS;32;200;481;30.0;23.0;1;Sydney;RedHat;Dedicated;OneYearMedium;C3_4xlarge;null;43197.0;1269840.0;0.64;55.0;16.0;30.0;1.0;320.0;0.0;481.0;32.0;
Config 252.fmc; 353;Dedicated;RedHat;AUS;32;3028;360;84.0;200.0;0;Sydney;RedHat;Dedicated;OneYearMedium;I2_8xlarge;null;71092.0;1684080.0;2.678;104.0;32.0;244.0;1.0;6400.0;0.0;360.0;32.0;
Config 253.fmc; 720;Public;Windows;CA;42;826;360;6.0;6.0;0;CA;Windows;Public;OneYearMedium;M2_xlarge;StdEBS;4374.0;88640.0;0.156;6.5;2.0;17.1;0.0;826.0;406.0;360.0;42.0;
Config 254.fmc; 491;Public;Windows;CA;42;826;360;54.0;31.0;0;CA;Windows;Public;OneYearMedium;CC2_8xlarge;null;15486.0;270000.0;0.75;88.0;32.0;60.5;0.0;3360.0;0.0;360.0;42.0;
Config 255.fmc; 422;Public;Suse;JP;13;4087;724;42.0;43.0;0;Tokyo;Suse;Public;OneYearHeavy;CC2_8xlarge;StdEBS;12807.0;512950.0;0.623;88.0;32.0;60.5;0.0;4087.0;727.0;730.0;13.0;
Config 256.fmc; 461;Public;Suse;JP;13;949;724;9.0;5.0;1;Tokyo;Suse;Public;OneYearHeavy;C3_xlarge;ssdEBS;3241.0;180930.0;0.105;14.0;4.0;7.5;1.0;949.0;869.0;730.0;13.0;
Config 257.fmc; 383;Dedicated;RedHat;VA;23;575;603;15.0;12.0;1;VA;RedHat;Dedicated;OneYearMedium;C3_2xlarge;ssdEBS;34254.0;1438048.0;0.316;28.0;8.0;15.0;1.0;575.0;415.0;603.0;23.0;
Config 258.fmc; 383;Dedicated;RedHat;VA;23;9735;603;86.0;164.0;1;Invalid;
Config 259.fmc; 1504;Public;WindowsSQLWeb;AsiaOceania;23;703;727;3.0;3.0;0;SIN;WindowsSQLWeb;Public;OneYearHeavy;M3_medium;ssdEBS;3648.0;139360.0;0.076;3.0;1.0;3.75;1.0;703.0;699.0;730.0;23.0;
Config 26.fmc; 430;Public;WindowsSQLStd;SIN;48;473;706;33.0;30.0;1;SIN;WindowsSQLStd;Public;OneYearHeavy;C3_4xlarge;ssdEBS;69915.0;1251330.0;1.689;55.0;16.0;30.0;1.0;473.0;153.0;730.0;48.0;
Config 260.fmc; 661;Public;WindowsSQLWeb;AsiaOceania;23;703;727;38.0;19.0;0;Tokyo;WindowsSQLWeb;Public;OneYearHeavy;R3_4xlarge;ssdEBS;18880.0;439430.0;0.539;52.0;16.0;122.0;1.0;703.0;383.0;730.0;23.0;
Config 261.fmc; 661;Public;WindowsSQLWeb;SIN;32;7616;605;80.0;67.0;0;Invalid;
Config 262.fmc; 467;Public;WindowsSQLWeb;SIN;32;452;239;12.0;2.0;1;SIN;WindowsSQLWeb;Public;OneYearMedium;C3_xlarge;ssdEBS;4639.0;117296.0;0.304;14.0;4.0;7.5;1.0;452.0;372.0;239.0;32.0;
Config 263.fmc; 514;Dedicated;WindowsSQLServer;Europe;4;452;239;7.0;27.0;1;IR;WindowsSQLWeb;Dedicated;OnDemand;R3_xlarge;ssdEBS;2870.0;717529.0;0.831;13.0;4.0;30.5;1.0;452.0;372.0;239.0;4.0;
Config 264.fmc; 378;Dedicated;WindowsSQLServer;ORE;13;5322;117;82.0;236.0;1;ORE;WindowsSQLWeb;Dedicated;OnDemand;I2_8xlarge;null;15121.0;1163214.0;7.942;104.0;32.0;244.0;1.0;6400.0;0.0;117.0;13.0;
Config 265.fmc; 1099;Dedicated;WindowsSQLServer;ORE;13;205;241;5.0;5.0;0;ORE;WindowsSQLWeb;Dedicated;OnDemand;M3_large;ssdEBS;7778.0;598351.0;0.411;6.5;2.0;7.5;1.0;205.0;173.0;241.0;13.0;
Config 266.fmc; 700;Public;LinuxBased;VA;13;205;241;60.0;34.0;0;VA;Linux;Public;OneYearLight;CC2_8xlarge;null;4594.0;217864.0;0.904;88.0;32.0;60.5;0.0;3360.0;0.0;241.0;13.0;
Config 267.fmc; 402;Public;LinuxBased;AUS;22;3203;119;76.0;139.0;0;Sydney;Linux;Public;OneYearLight;I2_8xlarge;null;18555.0;506226.0;4.254;104.0;32.0;244.0;1.0;6400.0;0.0;119.0;22.0;
Config 268.fmc; 351;Dedicated;WindowsSQLStd;SouthAmerica;42;954;484;14.0;4.0;1;SaoPaulo;WindowsSQLStd;Dedicated;OneYearMedium;C3_xlarge;ssdEBS;67145.0;1399292.0;0.548;14.0;4.0;7.5;1.0;954.0;874.0;484.0;42.0;
Config 269.fmc; 432;Dedicated;WindowsSQLStd;SouthAmerica;42;954;484;14.0;11.0;1;SaoPaulo;WindowsSQLStd;Dedicated;OneYearMedium;M3_2xlarge;ssdEBS;84855.0;1876320.0;1.565;26.0;8.0;30.0;1.0;954.0;794.0;484.0;42.0;
Config 27.fmc; 150;Dedicated;WindowsSQLWeb;ORE;29;5463;340;55.0;166.0;0;ORE;WindowsSQLWeb;Dedicated;OnDemand;I2_8xlarge;null;98028.0;3380280.0;7.942;104.0;32.0;244.0;1.0;6400.0;0.0;340.0;29.0;
Config 270.fmc; 150;Dedicated;WindowsSQLStd;JP;3;9910;362;78.0;103.0;1;Invalid;
Config 271.fmc; 529;Dedicated;WindowsSQLStd;JP;3;707;486;7.0;7.0;0;Tokyo;WindowsSQLStd;Dedicated;OnDemand;C3_xlarge;ssdEBS;4971.0;1657170.0;1.255;14.0;4.0;7.5;1.0;707.0;627.0;486.0;3.0;
Config 272.fmc; 319;Public;Linux;ORE;3;707;486;52.0;38.0;0;ORE;Linux;Public;OnDemand;R3_4xlarge;ssdEBS;2157.0;719100.0;1.4;52.0;16.0;122.0;1.0;707.0;387.0;486.0;3.0;
Config 273.fmc; 319;Public;Suse;AsiaOceania;13;7792;365;73.0;212.0;0;Invalid;
Config 274.fmc; 638;Public;Suse;AsiaOceania;13;333;365;16.0;6.0;1;SIN;Suse;Public;OneYearMedium;C3_2xlarge;ssdEBS;2751.0;107265.0;0.237;28.0;8.0;15.0;1.0;333.0;173.0;365.0;13.0;
Config 275.fmc; 503;Dedicated;WindowsBased;CA;32;456;729;21.0;15.0;1;CA;Windows;Dedicated;OneYearHeavy;G2_2xlarge;ssdEBS;56207.0;1654250.0;0.201;26.0;8.0;15.0;1.0;456.0;396.0;730.0;32.0;
Config 276.fmc; 287;Dedicated;Linux;Europe;42;5498;608;75.0;176.0;1;IR;Linux;Dedicated;ThreeYearsMedium;I2_8xlarge;null;121533.0;2458752.0;2.044;104.0;32.0;244.0;1.0;6400.0;0.0;608.0;42.0;
Config 277.fmc; 522;Dedicated;Linux;Europe;42;82;608;7.0;7.0;0;IR;Linux;Dedicated;ThreeYearsMedium;C3_xlarge;ssdEBS;54544.0;1277020.0;0.1;14.0;4.0;7.5;1.0;82.0;2.0;608.0;42.0;
Config 278.fmc; 640;Public;RedHat;ORE;11;227;500;7.0;20.0;0;ORE;RedHat;Public;OneYearMedium;M2_2xlarge;null;2077.0;108000.0;0.216;13.0;4.0;34.2;0.0;850.0;0.0;500.0;12.0;
Config 279.fmc; 295;Dedicated;RedHat;Europe;20;4080;378;38.0;41.0;1;IR;RedHat;Dedicated;OneYearMedium;I2_4xlarge;ssdEBS;35593.0;1451174.0;1.583;53.0;16.0;122.0;1.0;4080.0;880.0;378.0;20.0;
Config 28.fmc; 691;Public;WindowsSQLWeb;Europe;38;222;218;8.0;8.0;1;IR;WindowsSQLWeb;Public;OneYearMedium;I2_xlarge;null;4569.0;88944.0;0.408;14.0;4.0;30.5;1.0;800.0;0.0;218.0;38.0;
Config 280.fmc; 422;Dedicated;RedHat;Europe;20;852;378;12.0;6.0;1;IR;RedHat;Dedicated;OneYearMedium;C3_xlarge;ssdEBS;18769.0;908960.0;0.18;14.0;4.0;7.5;1.0;852.0;772.0;378.0;20.0;
Config 281.fmc; 489;Dedicated;Suse;CA;40;976;12;31.0;28.0;0;CA;Suse;Dedicated;OnDemand;I2_4xlarge;null;2988.0;74712.0;4.226;53.0;16.0;122.0;1.0;3200.0;0.0;12.0;40.0;
Config 282.fmc; 203;Public;Suse;NorthAmerica;1;1786;621;40.0;210.0;0;VA;Suse;Public;OnDemand;I2_8xlarge;null;4297.0;4297320.0;6.92;104.0;32.0;244.0;1.0;6400.0;0.0;621.0;1.0;
Config 283.fmc; 1187;Public;Suse;NorthAmerica;1;601;621;9.0;9.0;0;VA;Suse;Public;OnDemand;M3_xlarge;ssdEBS;288.0;288080.0;0.38;13.0;4.0;15.0;1.0;601.0;521.0;621.0;1.0;
Config 284.fmc; 336;Public;WindowsSQLServer;JP;1;729;14;14.0;35.0;0;Tokyo;WindowsSQLWeb;Public;OnDemand;M2_4xlarge;null;23.0;23800.0;1.7;26.0;8.0;68.4;0.0;1680.0;0.0;14.0;1.0;
Config 285.fmc; 336;Dedicated;WindowsSQLWeb;VA;11;8669;624;35.0;114.0;1;Invalid;
Config 286.fmc; 212;Dedicated;WindowsSQLWeb;VA;11;355;624;18.0;8.0;1;VA;WindowsSQLWeb;Dedicated;OnDemand;G2_2xlarge;ssdEBS;21280.0;1934572.0;1.053;26.0;8.0;15.0;1.0;355.0;295.0;624.0;11.0;
Config 287.fmc; 369;Dedicated;Windows;SIN;30;478;257;38.0;12.0;1;SIN;Windows;Dedicated;OneYearMedium;C3_4xlarge;ssdEBS;27354.0;806922.0;1.066;55.0;16.0;30.0;1.0;478.0;158.0;257.0;30.0;
Config 288.fmc; 361;Dedicated;Windows;SIN;30;6374;135;36.0;77.0;0;SIN;Windows;Dedicated;OneYearLight;I2_8xlarge;null;38344.0;1030860.0;5.636;104.0;32.0;244.0;1.0;6400.0;0.0;135.0;30.0;
Config 289.fmc; 1518;Public;Windows;AsiaOceania;39;103;135;3.0;3.0;0;SIN;Windows;Public;OneYearMedium;M3_medium;ssdEBS;1090.0;21735.0;0.073;3.0;1.0;3.75;1.0;103.0;99.0;135.0;39.0;
Config 29.fmc; 1008;Dedicated;WindowsBased;AsiaOceania;17;993;720;43.0;40.0;0;Tokyo;Windows;Dedicated;OneYearHeavy;R3_4xlarge;ssdEBS;42388.0;1953210.0;0.565;52.0;16.0;122.0;1.0;993.0;673.0;730.0;17.0;
Config 290.fmc; 770;Public;WindowsSQLStd;NorthAmerica;39;231;259;21.0;19.0;0;VA;WindowsSQLStd;Public;OneYearMedium;M3_2xlarge;ssdEBS;15625.0;294072.0;1.108;26.0;8.0;30.0;1.0;231.0;71.0;259.0;39.0;
Config 291.fmc; 770;Public;WindowsSQLStd;NorthAmerica;39;7609;138;31.0;186.0;1;Invalid;
Config 292.fmc; 804;Dedicated;LinuxBased;ORE;1;857;138;17.0;7.0;1;ORE;Linux;Dedicated;OnDemand;C3_2xlarge;ssdEBS;409.0;409456.0;0.462;28.0;8.0;15.0;1.0;857.0;697.0;138.0;1.0;
Config 293.fmc; 208;Dedicated;WindowsSQLWeb;AUS;20;980;502;45.0;27.0;1;Sydney;WindowsSQLWeb;Dedicated;OnDemand;C3_4xlarge;ssdEBS;45589.0;2279466.0;2.383;55.0;16.0;30.0;1.0;980.0;660.0;502.0;20.0;
Config 294.fmc; 159;Dedicated;WindowsSQLWeb;AUS;20;5315;502;78.0;150.0;0;Sydney;WindowsSQLWeb;Dedicated;OnDemand;I2_8xlarge;null;123873.0;6193676.0;10.338;104.0;32.0;244.0;1.0;6400.0;0.0;502.0;20.0;
Config 295.fmc; 850;Public;WindowsSQLStd;CA;30;606;381;6.0;6.0;0;CA;WindowsSQLStd;Public;OneYearMedium;M3_large;ssdEBS;6635.0;183561.0;0.301;6.5;2.0;7.5;1.0;606.0;574.0;381.0;30.0;
Config 296.fmc; 696;Public;WindowsSQLStd;CA;30;733;504;28.0;34.0;0;CA;WindowsSQLStd;Public;OneYearHeavy;CC2_8xlarge;null;38741.0;922720.0;1.264;88.0;32.0;60.5;0.0;3360.0;0.0;730.0;30.0;
Config 297.fmc; 755;Public;WindowsBased;AsiaOceania;29;3196;504;72.0;137.0;1;SIN;Windows;Public;OneYearMedium;I2_8xlarge;null;75666.0;2016000.0;4.0;104.0;32.0;244.0;1.0;6400.0;0.0;504.0;29.0;
Config 298.fmc; 435;Dedicated;Linux;JP;39;359;383;19.0;9.0;1;Tokyo;Linux;Dedicated;OneYearMedium;C3_2xlarge;ssdEBS;36117.0;892141.0;0.267;28.0;8.0;15.0;1.0;359.0;199.0;383.0;39.0;
Config 299.fmc; 472;Dedicated;Linux;JP;39;359;16;52.0;11.0;1;Tokyo;Linux;Dedicated;OnDemand;C3_4xlarge;ssdEBS;2131.0;54648.0;1.123;55.0;16.0;30.0;1.0;359.0;39.0;16.0;39.0;
Config 3.fmc; 419;Dedicated;RedHat;NorthAmerica;11;3526;81;93.0;59.0;1;VA;RedHat;Dedicated;OnDemand;I2_8xlarge;null;7974.0;724950.0;6.95;104.0;32.0;244.0;1.0;6400.0;0.0;81.0;11.0;
Config 30.fmc; 516;Public;LinuxBased;ORE;37;1752;232;64.0;116.0;0;ORE;Linux;Public;OneYearMedium;I2_8xlarge;null;35620.0;639856.0;2.758;104.0;32.0;244.0;1.0;6400.0;0.0;232.0;37.0;
Config 300.fmc; 516;Dedicated;LinuxBased;Europe;10;9903;16;74.0;101.0;1;Invalid;
Config 301.fmc; 637;Dedicated;LinuxBased;Europe;10;482;626;8.0;8.0;0;IR;Linux;Dedicated;OnDemand;M3_xlarge;ssdEBS;15084.0;1508434.0;0.339;13.0;4.0;15.0;1.0;482.0;402.0;626.0;10.0;
Config 302.fmc; 770;Public;WindowsBased;SIN;20;108;626;13.0;23.0;0;SIN;Windows;Public;OneYearHeavy;R3_xlarge;ssdEBS;5043.0;120890.0;0.161;13.0;4.0;30.5;1.0;108.0;28.0;730.0;20.0;
Config 303.fmc; 330;Public;WindowsBased;SIN;20;6550;626;99.0;42.0;0;SIN;Windows;Public;OneYearHeavy;I2_8xlarge;ssdEBS;67622.0;2332830.0;3.171;104.0;32.0;244.0;1.0;6550.0;150.0;730.0;20.0;
Config 304.fmc; 290;Public;RedHat;SIN;2;218;250;18.0;8.0;0;SIN;RedHat;Public;OnDemand;C3_2xlarge;ssdEBS;343.0;171710.0;0.659;28.0;8.0;15.0;1.0;218.0;58.0;250.0;2.0;
Config 305.fmc; 248;Public;RedHat;SIN;2;218;250;49.0;33.0;0;SIN;RedHat;Public;OnDemand;R3_4xlarge;null;905.0;452500.0;1.81;52.0;16.0;122.0;1.0;320.0;0.0;250.0;2.0;
Config 306.fmc; 248;Public;Windows;SouthAmerica;12;3730;129;54.0;163.0;0;Invalid;
Config 307.fmc; 451;Public;Windows;SouthAmerica;12;967;493;7.0;7.0;1;SaoPaulo;Windows;Public;OnDemand;C3_xlarge;ssdEBS;4927.0;410593.0;0.491;14.0;4.0;7.5;1.0;967.0;887.0;493.0;12.0;
Config 308.fmc; 376;Dedicated;Suse;ORE;31;967;493;57.0;10.0;1;ORE;Suse;Dedicated;OneYearMedium;C3_8xlarge;ssdEBS;48974.0;1435285.0;0.845;108.0;32.0;60.0;1.0;967.0;327.0;493.0;31.0;
